Gene	GSE59071 p (Corr)  [UC]vs [Not IBD]	GSE59071 LOG2FC ([UC] vs [Not IBD]) 	GSE59071 [UC] vs [Not IBD] 
BTBD3	7.25E-15	-0.887302654968773	Down
TOM1L1	2.24E-09	-0.886307629259511	Down
ACACB	3.00E-13	-0.885656557752726	Down
ETNK1	2.61E-08	-0.885397172310524	Down
PTPN21	5.91E-14	-0.884963384929341	Down
NBEAL1	1.80E-09	-0.884016194529311	Down
KIAA1161	6.50E-05	-0.883942006264624	Down
DQX1	8.36E-05	-0.88343427253217	Down
GULP1	0.000115559671842	-0.883308334920881	Down
ALDH5A1	1.36E-13	-0.883267537763983	Down
SUOX	1.76E-12	-0.882669910547467	Down
STX3	4.80E-11	-0.882503149383977	Down
AGMAT	7.10E-08	-0.881664322308234	Down
BPHL	1.19E-11	-0.881469376647521	Down
RNPC3	1.99E-10	-0.878848829030419	Down
CPNE2	1.44E-10	-0.878796693608768	Down
GRAMD4	1.13E-10	-0.87773464459044	Down
GBAS	5.35E-09	-0.875110436643837	Down
ZADH2	7.99E-12	-0.873626646656446	Down
BCAS1	0.004002911516156	-0.870377199407066	Down
RDH5	1.37E-13	-0.870132600884475	Down
MICALCL	1.48E-09	-0.869812285453133	Down
MINPP1	2.22E-11	-0.869683953471352	Down
CXorf23	1.08E-11	-0.867920230414346	Down
SNX13	4.45E-17	-0.8674066574383	Down
PHF7	5.15E-14	-0.866850620312003	Down
NBEAL1	5.83E-10	-0.866072725232875	Down
PCSK6	1.25E-07	-0.864884101905842	Down
C6orf136	2.03E-12	-0.86449348256219	Down
KLHL8	3.85E-12	-0.864293702949061	Down
EYA2	2.21E-08	-0.863557641796581	Down
FBXO32	1.02E-05	-0.862560536947997	Down
ZNF415	4.74E-11	-0.860348606515434	Down
LYRM7	1.06E-12	-0.86026895680852	Down
KRT20	0.006456265410907	-0.859474156484435	Down
SECTM1	0.000233926070368	-0.859279087684888	Down
CCDC146	8.18E-12	-0.858437716443976	Down
RNF5	3.13E-13	-0.857762986774211	Down
BSG	2.72E-16	-0.857113646691523	Down
SCP2	1.10E-07	-0.856652752346731	Down
PPP1R36	4.94E-09	-0.856301588906601	Down
C4orf19	0.000845218084087	-0.856025127408643	Down
PAPSS2	2.90E-08	-0.85542521294659	Down
CAT	1.60E-14	-0.855036033758896	Down
MBOAT1	1.81E-06	-0.854032626052984	Down
SEPHS2	2.41E-19	-0.851577574459728	Down
OR2A7	0.02030821813719	-0.851283197949666	Down
MT2A	3.46E-07	-0.850029965435471	Down
OR2A7	0.01742789899522	-0.849665471052896	Down
SUCLG2	4.27E-12	-0.848999742846226	Down
DTX4	1.81E-11	-0.848345731596439	Down
ANKDD1B	7.01E-12	-0.848122400661388	Down
TPRG1L	2.61E-13	-0.847914850425681	Down
AMT	6.91E-14	-0.847503863363322	Down
MAP2K6	0.000293289335061	-0.847432862146647	Down
CDH17	0.007334983409345	-0.847255931228949	Down
NDRG1	5.77E-12	-0.846587470591526	Down
ZNF814	4.06E-07	-0.846539041818656	Down
C6orf222	3.72E-07	-0.845741329017446	Down
HADH	1.38E-05	-0.844898435997344	Down
CLN8	2.98E-11	-0.844001578299673	Down
RAB4A	5.87E-11	-0.843871208643031	Down
RNF5	7.66E-13	-0.843425803637692	Down
RNF5	7.66E-13	-0.843425803637692	Down
SLC35D2	1.32E-07	-0.842975214029579	Down
PSD3	3.12E-11	-0.842909763598935	Down
MT1A	4.60E-07	-0.842244693103964	Down
CMTM4	4.40E-06	-0.841805396230589	Down
CDK20	9.45E-17	-0.840051298654775	Down
SEMA4G	0.000157446077988	-0.839729018940789	Down
TFCP2L1	0.0008127701802	-0.839233988356719	Down
SLC25A33	1.12E-10	-0.83917939496305	Down
BCAT2	1.03E-11	-0.839161082630526	Down
AK3	4.92E-21	-0.839011741345972	Down
EPB41L5	6.99E-13	-0.838374125076479	Down
GAB1	4.04E-11	-0.83768900886497	Down
PEX11A	5.33E-12	-0.837299917754234	Down
CDKL1	1.87E-14	-0.836976425409104	Down
HOXA3	1.25E-12	-0.836718494121338	Down
DDAH2	6.41E-12	-0.834022042879448	Down
DDAH2	6.41E-12	-0.834022042879448	Down
OSBPL1A	8.67E-14	-0.833783815493438	Down
TMCO1	6.99E-11	-0.832726635836144	Down
ARV1	7.71E-09	-0.831707416997761	Down
STARD10	8.19E-06	-0.831406275926767	Down
MPV17L	6.79E-05	-0.830655243114117	Down
CEP70	1.47E-07	-0.829981671521048	Down
ETHE1	0.000115391916493	-0.829915034564308	Down
ESRP1	0.002854484835951	-0.829785088364327	Down
CPM	2.79E-05	-0.829125339397921	Down
C11orf54	1.11E-07	-0.825768136185145	Down
ADIRF	4.87E-12	-0.825255069691699	Down
PRKACB	1.21E-07	-0.824771304191461	Down
MGAT4B	2.15E-10	-0.824749208981965	Down
DOCK1	7.56E-19	-0.823898184559342	Down
SERINC5	5.65E-08	-0.823747400140546	Down
ADD3	9.61E-17	-0.823323476536462	Down
ZNF768	1.89E-16	-0.822734344722146	Down
SLC44A3	0.000171818156282	-0.822687301802061	Down
ADCY6	7.18E-10	-0.822470611365206	Down
LIPH	0.009310349014903	-0.82234293971953	Down
LETM1	2.56E-11	-0.821716715908842	Down
ABHD3	5.47E-06	-0.82144257306679	Down
XYLB	4.35E-09	-0.820728374320757	Down
ZNF844	1.15E-10	-0.820586443501066	Down
MXI1	1.38E-07	-0.819638401183397	Down
CCDC112	6.20E-10	-0.819027618389207	Down
CCL23	0.002079135124293	-0.81874896333299	Down
ATP1B3	3.40E-07	-0.818109085679763	Down
HMGA2	2.73E-19	-0.817889960482321	Down
ARRDC4	1.65E-05	-0.81522093588443	Down
KCNJ2	0.000115391916493	-0.813161010892687	Down
SSTR1	1.15E-13	-0.813131699503796	Down
PPM1A	5.34E-16	-0.812885707716873	Down
NEK3	9.36E-08	-0.811650819811939	Down
DYRK2	2.31E-10	-0.810922570597691	Down
GCNT1	1.44E-06	-0.810668559970699	Down
MMP28	1.57E-08	-0.809512597860142	Down
CD160	1.72E-11	-0.809105703364932	Down
RNF135	4.92E-21	-0.808699017225196	Down
ECH1	5.98E-09	-0.80772427585128	Down
LIAS	1.15E-10	-0.807303995807615	Down
GALM	1.10E-05	-0.807227280750329	Down
NRIP1	1.25E-12	-0.806606115201921	Down
SPR	9.26E-12	-0.806600145478368	Down
MOCS1	6.03E-11	-0.80592267590037	Down
ISCA1	8.30E-09	-0.805088317646945	Down
EPB41L1	7.26E-19	-0.805036811031885	Down
SMPDL3B	7.18E-11	-0.804847047142342	Down
ATP8B1	3.74E-05	-0.80439031157905	Down
LRRC1	5.29E-05	-0.804207181991011	Down
PLA2G10	0.01714764439418	-0.803480468784191	Down
TRAK2	2.00E-12	-0.80215484902144	Down
TJP3	7.18E-05	-0.801874894234858	Down
NETO2	0.013913024254621	-0.801265454142303	Down
ZNF43	6.15E-06	-0.801126097153515	Down
EPHX1	2.54E-10	-0.80006205370232	Down
LRP4	0.013052712920347	-0.799216000131819	Down
POF1B	0.009119227345947	-0.79847777929459	Down
MEST	1.22E-08	-0.797639686006661	Down
LRP6	1.84E-15	-0.79707830019249	Down
PRR15L	0.003940987641919	-0.796703230690625	Down
GLTP	1.90E-11	-0.796099602793225	Down
ACOT11	4.66E-07	-0.795616271151159	Down
AP3S2	5.20E-11	-0.795247529178766	Down
TM4SF5	7.93E-09	-0.794487676190283	Down
RAB17	7.51E-10	-0.793956084887622	Down
CYCS	1.29E-09	-0.793889823992007	Down
ZNF480	6.74E-12	-0.793153672572114	Down
FCGRT	1.00E-12	-0.792919401393565	Down
ILDR1	1.23E-07	-0.792892471750264	Down
DDAH2	2.19E-11	-0.792701999230257	Down
DEPTOR	1.82E-05	-0.792633897377689	Down
EPHA10	1.42E-05	-0.792067011240598	Down
C2CD5	1.82E-15	-0.791983024255908	Down
MAMDC2	2.18E-06	-0.791476677305122	Down
SLC41A2	6.50E-08	-0.791361482746346	Down
KLC4	5.22E-11	-0.791093329632776	Down
C5orf52	3.75E-09	-0.790593907547624	Down
PNPLA4	7.06E-06	-0.79037680164454	Down
ANKS4B	0.001934833778562	-0.790268885513413	Down
DAPK2	4.44E-10	-0.789991295820416	Down
PGM1	1.10E-08	-0.788210154841048	Down
SUCLG1	6.21E-08	-0.787905647197379	Down
SPIRE2	2.26E-09	-0.787847771773516	Down
TMEM9B	3.49E-10	-0.787458583993796	Down
BPNT1	8.71E-07	-0.78498469789678	Down
RBM24	0.000168987621876	-0.784706903418873	Down
CASP6	2.09E-05	-0.784040237307548	Down
CLMN	1.03E-05	-0.78358628529174	Down
PANK3	6.24E-13	-0.782015063509551	Down
STPG1	4.31E-06	-0.781888051602681	Down
ZNF763	3.63E-10	-0.781825820428261	Down
SERINC2	7.13E-06	-0.781648049400884	Down
ZSCAN31	4.66E-12	-0.78120060761555	Down
ANXA13	0.0003093074418	-0.780202575311784	Down
PLEKHH1	1.13E-05	-0.7793746746485	Down
ZSWIM3	6.91E-18	-0.778468680087714	Down
ASTE1	5.33E-14	-0.777896358270743	Down
LAMTOR4	4.09E-15	-0.776718103430312	Down
CCDC183	3.12E-11	-0.776631770209185	Down
SDHD	2.66E-09	-0.776395950979657	Down
WASL	3.83E-09	-0.776303700942076	Down
PBX1	1.46E-07	-0.775653134481185	Down
TMEM192	6.34E-15	-0.775298211607985	Down
NR6A1	1.25E-17	-0.774983205726151	Down
ACO2	4.59E-11	-0.77472869311076	Down
GRHL2	6.52E-05	-0.773938028713552	Down
ABCA8	0.000793079405235	-0.773762854176088	Down
MPC1	8.92E-07	-0.773669080778211	Down
THRA	9.74E-11	-0.772301828502199	Down
MRPL34	1.97E-14	-0.771213534433111	Down
BDKRB1	2.39E-05	-0.770736331545392	Down
C14orf142	4.52E-11	-0.770709372567927	Down
ATP2C2	0.000858372198687	-0.769637707159539	Down
HADHB	7.42E-17	-0.7693495249351	Down
SOS2	1.87E-16	-0.76760172185921	Down
TP53INP2	1.75E-06	-0.76746940699001	Down
SNX4	5.78E-09	-0.767448857079845	Down
USH1C	7.06E-05	-0.766247441466428	Down
MAGI3	2.99E-06	-0.765786004107373	Down
ADAL	4.23E-09	-0.765767381631635	Down
DISP2	8.09E-09	-0.76424983285311	Down
AUH	3.02E-20	-0.763275483787345	Down
KNG1	0.000841947604745	-0.76319207029126	Down
CLIP2	1.67E-12	-0.763086808059576	Down
ADHFE1	4.84E-09	-0.762728716205806	Down
ALPI	1.59E-08	-0.762073486053128	Down
NAT1	1.49E-07	-0.762028982020512	Down
BCL2L14	2.12E-08	-0.761342591572189	Down
FN3K	6.91E-09	-0.760180858276711	Down
SDHD	2.64E-11	-0.760124879983964	Down
ZNF737	6.59E-05	-0.760117560954193	Down
ACOX2	2.12E-09	-0.759965913253703	Down
OVOL2	6.28E-11	-0.759685488305897	Down
FAM13A	9.26E-07	-0.759392270823052	Down
PMFBP1	5.29E-07	-0.759276049275493	Down
CTSA	2.87E-14	-0.75826152607142	Down
LGALSL	3.13E-08	-0.757605141389162	Down
SLC52A3	2.87E-06	-0.757422036916835	Down
TLDC2	3.72E-09	-0.757119072359863	Down
NCBP2-AS2	2.72E-16	-0.755615268032806	Down
LGALS4	0.003720197211885	-0.753528557802781	Down
LNX2	5.51E-06	-0.753063255853656	Down
SH3RF2	0.000115333539451	-0.75248115893995	Down
ZNF577	7.01E-11	-0.752041168088717	Down
LMTK2	3.80E-11	-0.751552324352311	Down
HYKK	7.05E-12	-0.75143354071364	Down
FAAH	5.96E-09	-0.749970601378867	Down
PTK6	1.58E-06	-0.749962371649824	Down
GDE1	1.53E-12	-0.749937306401218	Down
OPHN1	2.88E-10	-0.749785449179653	Down
GAREM	1.94E-10	-0.749532292864801	Down
PRELID2	0.000921860397681	-0.748760226784819	Down
NDUFA5	9.04E-09	-0.748046215917253	Down
DAGLA	9.04E-11	-0.747243277716742	Down
GGT6	0.000216667956263	-0.746744377712883	Down
IP6K2	6.20E-15	-0.746535930048308	Down
RALGPS1	3.99E-13	-0.746504581196821	Down
TMEM209	2.25E-08	-0.746110778911596	Down
HMOX1	1.46E-06	-0.746031830265986	Down
SNX2	2.51E-05	-0.74487435449451	Down
OCRL	6.22E-12	-0.744662251971643	Down
CASD1	3.40E-06	-0.74437777978177	Down
PTPN3	4.75E-06	-0.743990503256507	Down
LLGL2	0.00015845395158	-0.741380418426873	Down
LRRCC1	5.49E-06	-0.741044410510982	Down
FBXO34	2.29E-07	-0.740956422934959	Down
MT2A	1.46E-05	-0.740354848691377	Down
TRAF3IP2	2.64E-13	-0.739349481213212	Down
HOXB6	4.83E-06	-0.739252339118127	Down
HMGCL	3.20E-08	-0.737537907162561	Down
TGFA	3.76E-08	-0.737498334225375	Down
AGFG2	1.31E-11	-0.737283641840205	Down
ITPKA	1.32E-11	-0.735834891457175	Down
TBC1D12	2.15E-18	-0.735761075857859	Down
AAMDC	3.89E-15	-0.735592341144037	Down
ASPA	8.09E-09	-0.735526583466062	Down
ZNF813	3.53E-12	-0.7354629649444	Down
TSEN2	5.35E-14	-0.735270817846776	Down
UGT8	0.0007178090997	-0.735071254000916	Down
MUT	5.14E-07	-0.733827994974263	Down
TMC4	0.000511772277573	-0.733479873003917	Down
DENND4C	4.25E-13	-0.733312245429671	Down
HINFP	1.42E-18	-0.731443967436484	Down
NEU1	9.82E-12	-0.730831360775696	Down
CPEB3	4.96E-16	-0.730769033072586	Down
LRIG2	9.48E-17	-0.730274198029761	Down
MBNL3	7.40E-08	-0.729409804748796	Down
TTC38	1.37E-06	-0.729085650623123	Down
ID2	4.58E-07	-0.729053385807942	Down
SPINT1	0.000551213684693	-0.728845972302139	Down
FOXN3	7.25E-07	-0.728812471247716	Down
ATPAF1	1.08E-19	-0.727915854945552	Down
UGT2B7	5.76E-05	-0.727692982668092	Down
SLC25A4	6.92E-09	-0.727092720029129	Down
CLDN23	4.51E-08	-0.726674381087639	Down
DPP4	0.008689836586061	-0.725089498659425	Down
PRKAB2	1.67E-10	-0.72477112972166	Down
IFT57	5.06E-12	-0.723953545356263	Down
HADHA	8.63E-13	-0.723537686149989	Down
MAML2	3.49E-15	-0.723356498459291	Down
SLC35D1	0.000155955055816	-0.722480392646986	Down
ZNF439	1.47E-10	-0.722466690911379	Down
NDUFA2	5.60E-08	-0.721131897301323	Down
CDK3	2.46E-12	-0.720744339515248	Down
MIER1	1.79E-14	-0.720224688567738	Down
SYTL4	4.25E-07	-0.719633720386446	Down
CAMK2D	2.41E-07	-0.719553173919483	Down
ACVR1B	6.93E-11	-0.719290784005043	Down
TMEM254	0.000275747164023	-0.71929024699501	Down
ZNF493	3.78E-08	-0.719174286415094	Down
CHP1	9.97E-09	-0.718778824986698	Down
ABO	0.001578153838455	-0.718407864949919	Down
IL1R2	0.003595121293025	-0.717962574401978	Down
MYO15B	0.002688019144971	-0.717122896449808	Down
SAMD12	1.19E-05	-0.716887996509801	Down
GAL3ST1	2.78E-08	-0.716832520609228	Down
FMN1	1.77E-06	-0.716732551997282	Down
NCK2	2.75E-11	-0.71485892445415	Down
NDUFB9	5.36E-08	-0.714458546569398	Down
INADL	0.000103742757654	-0.714264902832094	Down
CACNA1D	5.53E-07	-0.714230845230958	Down
CNST	6.48E-16	-0.714219273678298	Down
NDUFS1	4.80E-11	-0.713751433901102	Down
USP54	2.90E-05	-0.713045176754417	Down
AKAP5	0.000378005095626	-0.712803042044803	Down
CDC42BPA	2.67E-11	-0.712727654534184	Down
ACAA1	1.57E-10	-0.712613115092017	Down
SPPL2A	3.52E-08	-0.712584033491936	Down
LRPPRC	1.03E-08	-0.71205423094961	Down
PYROXD1	1.74E-05	-0.712034712829254	Down
THNSL1	2.56E-09	-0.711773111485479	Down
PHOSPHO2	3.24E-11	-0.7104880004232	Down
CXADR	0.012498789138332	-0.710407894549588	Down
SPECC1L	8.28E-12	-0.710062103785178	Down
HSPB2-C11orf52	5.02E-12	-0.709809183009429	Down
MPC2	1.35E-07	-0.709438173260526	Down
GBA2	3.05E-10	-0.709204693658926	Down
PRAP1	2.75E-07	-0.708670959132462	Down
KIF16B	1.20E-05	-0.708564852291099	Down
LCMT1	2.15E-14	-0.70785457004072	Down
DUSP16	1.15E-11	-0.70776383482192	Down
HECTD3	2.21E-07	-0.707264886899427	Down
SENP8	2.83E-11	-0.706919161766546	Down
ADCY5	1.86E-08	-0.706766014240472	Down
PIWIL4	1.58E-05	-0.706699570602456	Down
OSBPL11	1.30E-11	-0.706309205389186	Down
SIAE	5.63E-05	-0.7061083232672	Down
DNMBP	3.37E-09	-0.704911377797446	Down
KITLG	3.22E-06	-0.704365958926578	Down
HEBP1	1.93E-06	-0.703863891170979	Down
TMPRSS4	0.014965538621997	-0.703817119626077	Down
AOC1	0.005820178447749	-0.703656698801	Down
GRTP1	1.15E-08	-0.701996214659186	Down
FAR2	5.53E-06	-0.701213750593217	Down
NDUFB3	6.37E-06	-0.701194428012679	Down
MPI	1.27E-07	-0.700826387887732	Down
ADCY9	3.02E-11	-0.70059975915728	Down
COQ5	8.79E-10	-0.700051978363263	Down
PTGR2	2.90E-07	-0.69944297989436	Down
KLF5	0.000216943653193	-0.699359148371473	Down
UBE2A	1.76E-10	-0.69911266884656	Down
MOGAT3	0.00318379845092	-0.699052876976689	Down
FAM83B	0.009725258208805	-0.698787533330149	Down
C6orf203	9.60E-12	-0.698578933839079	Down
CITED2	1.50E-06	-0.6983814189696	Down
RPL10L	2.40E-14	-0.697343923412724	Down
ABCA10	1.11E-09	-0.69728449629358	Down
ARL14	0.017083356160376	-0.696855088084398	Down
COX5B	1.86E-08	-0.696473430312899	Down
PROM1	0.025244152395643	-0.695193184533318	Down
FRK	0.003577519854948	-0.695027623839753	Down
UNC5B	1.34E-09	-0.69468233554613	Down
KIAA1324L	0.019577965583648	-0.694645168802124	Down
NSUN3	1.79E-11	-0.694561888543475	Down
SDHB	5.76E-10	-0.694029949543937	Down
SMPD3	0.002380332542589	-0.693112307954742	Down
TDRD3	3.85E-15	-0.692395950354155	Down
MST1	1.57E-05	-0.69224445198868	Down
HCCS	1.50E-10	-0.692240458500065	Down
ATP2B1	4.53E-09	-0.691873830926237	Down
PXMP4	3.11E-10	-0.691762778444299	Down
ZNF320	4.03E-08	-0.691539394973593	Down
CLN5	2.38E-09	-0.69127115356341	Down
TOM1L1	0.000241145669047	-0.690984927439928	Down
PTPRO	8.86E-05	-0.69078772984581	Down
SGK223	1.26E-10	-0.690408618914401	Down
RSAD2	0.038212575563304	-0.689763298569682	Down
RGMB	7.13E-05	-0.689692136807771	Down
LZIC	2.51E-07	-0.689573522742132	Down
ESRP2	0.000227394051651	-0.689117269396158	Down
DSP	0.005022326927441	-0.689106522278891	Down
TRANK1	1.79E-05	-0.687833695530506	Down
NTPCR	8.32E-08	-0.687613224029413	Down
ARHGAP35	2.61E-13	-0.687528534983825	Down
GOLIM4	2.74E-09	-0.68733493728713	Down
SCO1	1.58E-09	-0.687331069151785	Down
CCL14	1.20E-08	-0.686888577387892	Down
BCL2L10	5.65E-09	-0.68681248911515	Down
DLEU1	1.84E-07	-0.685915943471048	Down
MLXIP	4.90E-06	-0.685819188081968	Down
ANO9	0.000144828107973	-0.685072411606718	Down
PLD1	2.26E-08	-0.683567726405473	Down
KLHL24	3.82E-07	-0.683360474714423	Down
TCP11L1	3.17E-15	-0.683303023949177	Down
STK38	8.04E-15	-0.682529362383594	Down
TSHZ1	5.28E-12	-0.681526863385729	Down
HDHD3	0.000133678410034	-0.681275157298337	Down
KLHDC2	1.13E-08	-0.681095844089537	Down
GLOD5	5.04E-07	-0.680688337107989	Down
COQ9	5.62E-09	-0.680576281457675	Down
NDUFB5	6.64E-08	-0.680546207134629	Down
ZNF808	1.41E-12	-0.680373492575063	Down
RNF103	3.67E-06	-0.680337858843492	Down
NBR1	2.57E-10	-0.679319619541054	Down
ENPP5	0.001157730667112	-0.67914156045046	Down
DDX26B	7.08E-07	-0.677755164467783	Down
HMGCR	0.000413410502073	-0.677385749934137	Down
BLOC1S1	9.58E-08	-0.67695565761432	Down
DNAJC15	0.000340215237421	-0.676709693991175	Down
CBLC	3.88E-06	-0.676435064543814	Down
ZNF615	1.35E-06	-0.675878428281386	Down
ZNF613	7.77E-12	-0.675714676720871	Down
MROH7	4.89E-12	-0.675047917833904	Down
RNF14	7.81E-11	-0.674584133364036	Down
ETFA	8.88E-10	-0.673339448455378	Down
ZNF774	1.58E-06	-0.673322371164799	Down
DSCR3	1.50E-09	-0.672365567791802	Down
TTC22	0.003011688164174	-0.672254411781621	Down
PDP2	5.02E-07	-0.671944059489654	Down
PEX19	4.85E-11	-0.671790919397484	Down
SLC35F2	2.81E-07	-0.671206449505846	Down
PLA2G12A	6.50E-11	-0.670950264275675	Down
GDA	0.001498934612407	-0.670767077852569	Down
ME2	2.65E-10	-0.669736829976252	Down
ZNF383	5.35E-09	-0.667798687790768	Down
GJB1	3.10E-10	-0.667717968804596	Down
CYP2R1	1.82E-10	-0.66740745495818	Down
ELL3	2.54E-08	-0.666850125770875	Down
NEU1	1.15E-11	-0.665855919431817	Down
NEU1	1.15E-11	-0.665855919431817	Down
GDPD1	6.61E-11	-0.665794488572625	Down
GGH	7.93E-05	-0.665317528638374	Down
EXOC6B	1.07E-09	-0.665094049209424	Down
F2RL1	0.003889138191309	-0.66481585791483	Down
NDUFA6	1.49E-09	-0.66472405235772	Down
CD2AP	4.47E-06	-0.664181340969463	Down
TMEM14C	3.22E-09	-0.663910607522773	Down
CYP4V2	6.84E-08	-0.66383704046455	Down
SLC27A2	0.010658325686618	-0.663809206375472	Down
SLC22A4	0.001879617869778	-0.663300746170689	Down
TMEM116	7.49E-07	-0.663008480547507	Down
TMEM120A	1.27E-08	-0.662714823460462	Down
VTI1B	8.30E-13	-0.661929613097463	Down
ARSD	0.000297735635288	-0.661704024886403	Down
NRARP	1.80E-05	-0.661612302057462	Down
ZNF440	5.21E-06	-0.661588968123768	Down
B3GNT8	1.06E-11	-0.661421452660233	Down
DENND1B	2.10E-07	-0.661102225814982	Down
LRRFIP2	1.96E-14	-0.661056659048453	Down
SCNN1A	0.022879125572912	-0.66100537307611	Down
KLF4	0.015466720147195	-0.659747138741826	Down
NEO1	0.000599904949234	-0.659609154464405	Down
SIPA1L3	5.44E-06	-0.659038311284229	Down
SLC39A4	4.42E-08	-0.659019426113509	Down
ARRB1	1.56E-09	-0.658349466445859	Down
MICU2	3.55E-09	-0.657800524626147	Down
BTD	3.54E-09	-0.657609668080259	Down
TNIK	1.83E-06	-0.656875573200265	Down
LMBRD2	1.33E-07	-0.656793562341701	Down
ZNF816	4.87E-09	-0.656428988400735	Down
NNT	1.30E-07	-0.656062408913638	Down
PET117	1.56E-14	-0.655716488141179	Down
MGLL	1.35E-06	-0.655668623819912	Down
SIPA1L2	1.58E-09	-0.655497010294113	Down
PGRMC1	1.17E-09	-0.655402240466561	Down
CTH	4.80E-06	-0.655249128310316	Down
PLSCR4	1.32E-05	-0.654896418049661	Down
SORBS1	0.003704707281851	-0.654133866913075	Down
MPZL3	7.89E-11	-0.653947070317238	Down
CRBN	7.32E-13	-0.653796385484384	Down
FAM117B	1.95E-07	-0.652371194197533	Down
VILL	7.26E-05	-0.651556549990506	Down
VSTM2A	6.98E-06	-0.651357570483815	Down
PLEKHJ1	5.49E-09	-0.650785664169097	Down
CCDC68	0.026790924353526	-0.6506030713832	Down
DNAJC28	1.17E-08	-0.650112620000757	Down
DNAJC19	5.18E-09	-0.649817254228557	Down
ZNF823	8.56E-07	-0.649746470145482	Down
PDSS1	4.44E-08	-0.649650295366314	Down
BCL2L11	1.25E-07	-0.648963826068924	Down
NOL4L	2.54E-11	-0.648757769193439	Down
PNPO	0.000346229678809	-0.648609779904007	Down
NDUFB10	1.88E-08	-0.648393690579601	Down
IL6R	2.68E-07	-0.64839141759238	Down
AGBL2	1.52E-15	-0.64833429783072	Down
SHROOM3	0.00130695195222	-0.64789729030209	Down
PPFIBP2	1.00E-09	-0.64662974096807	Down
ANKMY2	5.03E-10	-0.645654414815397	Down
FLVCR2	0.000498275146293	-0.64482822349972	Down
GLP2R	6.48E-07	-0.644727703890331	Down
SLC6A9	0.000154117348194	-0.64443049234478	Down
PPARA	2.35E-10	-0.643834736251042	Down
PCLO	1.02E-05	-0.643683500874638	Down
FBXO3	4.78E-10	-0.64368250348676	Down
ANKRD9	3.77E-07	-0.643351467046839	Down
PCTP	5.02E-08	-0.642574801462708	Down
ZNF600	5.12E-10	-0.642275797166937	Down
ACAD10	5.92E-11	-0.641945399294796	Down
TMEM131	5.17E-14	-0.641736548750599	Down
ZNF254	3.10E-09	-0.641390094055133	Down
RASEF	0.012630147001802	-0.640697162969728	Down
AGPAT2	3.32E-05	-0.640565659476147	Down
SYDE2	1.23E-08	-0.639825694618029	Down
SPA17	0.000584901200528	-0.639768061247988	Down
ZNF845	4.81E-08	-0.639429845707223	Down
ZKSCAN1	7.01E-09	-0.639332807488918	Down
APLP2	1.59E-11	-0.637700366679759	Down
SLC16A5	9.07E-09	-0.636631751971771	Down
BRPF3	6.50E-09	-0.636300317578314	Down
C1orf21	1.41E-07	-0.636187535721019	Down
ANO7	1.97E-05	-0.636160245266111	Down
LGR4	0.005096279692677	-0.635988065868823	Down
SLC26A6	8.88E-10	-0.635788177235408	Down
PIK3R1	9.32E-09	-0.635104736017345	Down
LIMA1	5.59E-07	-0.635020499236287	Down
C15orf48	0.000394657177508	-0.634671031334372	Down
ZBTB10	1.03E-08	-0.634586180804749	Down
POFUT1	7.48E-13	-0.634040211199562	Down
C15orf38-AP3S2	2.88E-10	-0.633981855622681	Down
PLIN2	3.63E-05	-0.633759712397218	Down
BZW2	2.63E-08	-0.633283259419615	Down
FBXL20	6.75E-08	-0.633006818827383	Down
FAM200B	3.18E-09	-0.632917877236108	Down
AQP7	3.94E-09	-0.632710602808453	Down
SLC25A13	7.87E-07	-0.632513997216295	Down
PINK1	1.11E-11	-0.632231371352044	Down
C9orf85	7.29E-08	-0.631801574655386	Down
FAM189A1	4.16E-09	-0.63176486248071	Down
COA7	1.28E-06	-0.630888286774322	Down
TMEM45B	0.027454383631782	-0.630653266641149	Down
ACSL5	5.17E-06	-0.629895069728438	Down
RBM47	3.14E-06	-0.629599627888638	Down
NIPAL2	0.000286034431779	-0.629572486092886	Down
CAMK2G	8.04E-13	-0.629415797637618	Down
GTF2IRD2B	1.00E-12	-0.628881335457102	Down
SOWAHB	1.72E-06	-0.627531016185009	Down
TPRN	3.15E-05	-0.627077892127682	Down
SPHK2	4.21E-12	-0.62683736455823	Down
SPATA20	3.23E-06	-0.626342192130647	Down
AKR1C3	0.024696486341114	-0.626307728374064	Down
VAV2	6.43E-08	-0.626302907214589	Down
PPP1R3B	1.17E-06	-0.626189132772842	Down
LMBRD1	8.97E-08	-0.626120625423363	Down
EFTUD1	1.59E-07	-0.625117793535905	Down
ZC2HC1C	5.95E-15	-0.625112784993552	Down
PPARD	6.17E-05	-0.624456030465378	Down
ZNF564	1.59E-11	-0.624188799958163	Down
SLC35A3	0.005997108277249	-0.623905341896654	Down
FHDC1	0.000132378573118	-0.623843781078183	Down
ASAP3	1.25E-11	-0.623755061147919	Down
DERA	2.46E-08	-0.623493784431	Down
SDHD	8.77E-09	-0.623412245414697	Down
STRBP	7.31E-06	-0.623013375284921	Down
TUFT1	0.000358643847713	-0.622674304182365	Down
LRRC28	3.55E-12	-0.621808093271792	Down
POLR2H	8.83E-11	-0.621580486471068	Down
RAP1GAP	0.000507241831189	-0.620744221802744	Down
ABCC3	0.000116921232224	-0.62014069096324	Down
ERBB2IP	4.69E-09	-0.619932916723792	Down
ENGASE	5.43E-08	-0.619885248577964	Down
HOXA4	1.40E-08	-0.619674077664564	Down
KDM6A	1.32E-06	-0.619400664643528	Down
