Gene	p (Corr)  [UC]vs [Not IBD]	FC ([UC] vs [Not IBD]) 	[UC] vs [Not IBD] 
TMC4	2.86E-08	-1.799663	down
DENND4C	2.87E-05	-1.5495403	down
CPEB3	4.60E-07	-1.6413116	down
MBNL3	1.84E-09	-1.9811603	down
TTC38	3.31E-08	-1.5550541	down
SPINT1	2.73E-13	-1.9784287	down
FOXN3	4.43E-07	-1.6274925	down
ATPAF1	4.58E-29	-2.117377	down
UGT2B7	3.57E-21	-3.8516476	down
SLC25A4	9.45E-14	-1.5680637	down
CLDN23	6.15E-12	-2.3618476	down
DPP4	3.97E-20	-3.4771721	down
IFT57	1.08E-16	-1.86682	down
HADHA	1.63E-12	-1.66476	down
SLC35D1	1.62E-09	-1.8734096	down
NDUFA2	4.07E-17	-1.6411104	down
MIER1	6.59E-13	-1.7289823	down
SYTL4	1.26E-06	-1.5710622	down
CAMK2D	5.73E-09	-1.7134075	down
ACVR1B	1.79E-13	-2.3715117	down
TMEM254	1.12E-10	-1.6392877	down
CHP1	3.24E-14	-1.8053203	down
ABO	2.26E-06	-2.235821	down
IL1R2	1.30E-20	-3.781664	down
SAMD12	1.79E-04	-1.5328661	down
GAL3ST1	6.44E-24	-4.2201333	down
NCK2	1.15E-15	-1.5458499	down
NDUFB9	3.58E-19	-1.8739288	down
INADL	3.51E-05	-1.5349989	down
NDUFS1	1.32E-08	-1.605697	down
USP54	7.17E-05	-1.6062896	down
AKAP5	1.26E-07	-1.8779923	down
ACAA1	1.06E-17	-1.7193714	down
THNSL1	1.23E-10	-1.7070211	down
CXADR	6.11E-14	-2.1833882	down
SPECC1L	1.43E-10	-1.77726	down
MPC2	4.47E-16	-1.8417237	down
PRAP1	1.99E-16	-6.102296	down
LCMT1	9.68E-19	-1.6556836	down
DUSP16	6.45E-15	-2.0257428	down
SIAE	1.86E-14	-2.434877	down
DNMBP	2.10E-08	-1.7328235	down
TMPRSS4	2.33E-12	-1.9985013	down
AOC1	7.26E-08	-2.04257	down
GRTP1	1.61E-10	-1.8284212	down
ADCY9	1.86E-10	-2.005231	down
COQ5	3.39E-14	-1.5300386	down
PTGR2	1.19E-08	-1.8243966	down
KLF5	5.74E-10	-2.1120613	down
FAM83B	3.98E-05	-1.7799201	down
C6orf203	2.85E-12	-1.5291127	down
RPL10L	3.44E-10	-3.4648836	down
COX5B	1.74E-17	-2.0099695	down
FRK	3.86E-06	-1.7250222	down
UNC5B	3.36E-10	-1.907385	down
SDHB	7.21E-16	-1.6004685	down
SMPD3	4.29E-06	-1.781336	down
HCCS	2.01E-16	-1.6812435	down
ATP2B1	4.17E-12	-1.9363419	down
PXMP4	3.04E-12	-1.661169	down
PTPRO	3.76E-06	-2.0520196	down
SGK223	2.77E-19	-2.745783	down
RGMB	2.39E-07	-1.9364672	down
DSP	1.71E-04	-1.6090256	down
NTPCR	4.15E-13	-1.8510624	down
ARHGAP35	9.97E-09	-1.7325542	down
GOLIM4	1.81E-09	-1.9367166	down
BCL2L10	1.13E-10	-2.2126536	down
TSHZ1	6.41E-14	-2.1011055	down
GLOD5	2.12E-10	-2.506734	down
COQ9	3.44E-10	-1.5281585	down
NDUFB5	3.59E-16	-1.5816001	down
NBR1	6.54E-11	-1.7403599	down
ENPP5	7.79E-05	-1.5261167	down
BLOC1S1	4.68E-16	-1.6975766	down
CBLC	8.38E-10	-1.759528	down
ZNF613	4.52E-26	-2.3246882	down
RNF14	4.78E-12	-1.5829561	down
ETFA	6.27E-11	-1.5006148	down
PEX19	2.48E-14	-1.6458186	down
SLC35F2	2.14E-14	-1.7404348	down
PLA2G12A	6.49E-08	-1.5085441	down
GJB1	1.19E-14	-2.533067	down
ELL3	3.63E-06	-1.6792885	down
GDPD1	1.09E-07	-1.686673	down
GGH	1.92E-16	-2.013678	down
F2RL1	1.44E-13	-2.307605	down
NDUFA6	9.32E-12	-1.5258163	down
CD2AP	2.30E-08	-1.742322	down
TMEM14C	3.69E-26	-1.7114521	down
SLC22A4	9.46E-21	-3.446614	down
TMEM120A	8.24E-19	-1.7454882	down
ARSD	6.43E-12	-2.1675954	down
NRARP	1.53E-10	-2.1366746	down
B3GNT8	8.98E-22	-3.1687133	down
LRRFIP2	2.04E-09	-1.5146078	down
KLF4	1.27E-05	-1.6897025	down
NEO1	3.19E-05	-1.727847	down
SIPA1L3	4.79E-07	-1.72582	down
SLC39A4	2.83E-10	-1.6130081	down
ARRB1	2.50E-11	-1.6530569	down
BTD	9.28E-16	-1.5640401	down
ZNF816	1.74E-08	-1.6118445	down
NNT	4.77E-07	-1.5045462	down
PET117	9.58E-14	-1.5162666	down
MGLL	1.80E-05	-1.5286214	down
SIPA1L2	3.08E-06	-1.5624955	down
PGRMC1	4.77E-21	-1.8452334	down
CTH	1.57E-19	-2.2488694	down
PLSCR4	2.89E-05	-1.5167605	down
SORBS1	1.16E-05	-1.7402395	down
MPZL3	3.24E-09	-1.6338077	down
FAM117B	1.46E-08	-1.6350908	down
VILL	3.00E-09	-1.6590711	down
VSTM2A	1.39E-04	-3.4233873	down
PLEKHJ1	1.24E-13	-1.6943084	down
ZNF823	3.11E-10	-1.5688115	down
NDUFB10	2.98E-18	-1.7115916	down
SHROOM3	1.93E-07	-1.9580573	down
ANKMY2	3.62E-13	-1.7100834	down
GLP2R	2.93E-06	-2.0834105	down
ANKRD9	1.64E-09	-1.7917188	down
PCTP	6.58E-15	-1.7222964	down
AGPAT2	1.81E-09	-1.633162	down
SYDE2	2.69E-04	-1.5084546	down
ZKSCAN1	1.94E-06	-1.5830469	down
APLP2	1.85E-09	-1.767051	down
C1orf21	1.33E-10	-1.6216344	down
LGR4	1.72E-09	-1.9727004	down
PIK3R1	9.66E-06	-1.580858	down
LIMA1	3.53E-12	-1.8972118	down
C15orf48	8.04E-14	-2.3109057	down
ZBTB10	7.64E-11	-2.0557065	down
POFUT1	1.11E-11	-1.7886704	down
C15orf38-AP3S2	1.58E-15	-1.7689915	down
BZW2	4.81E-18	-1.7686883	down
AQP7	1.16E-19	-4.2043705	down
PINK1	5.54E-24	-1.9258034	down
FAM189A1	2.53E-10	-4.2330275	down
COA7	4.58E-10	-1.5888573	down
TMEM45B	3.73E-09	-1.7867342	down
RBM47	2.76E-07	-1.7362447	down
SOWAHB	1.55E-07	-1.8372276	down
TPRN	2.71E-09	-1.8071624	down
SPHK2	7.48E-08	-1.5121057	down
AKR1C3	4.54E-06	-1.6713393	down
VAV2	2.79E-12	-1.8155464	down
PPP1R3B	2.87E-13	-1.9172533	down
LMBRD1	6.53E-21	-1.759418	down
EFTUD1	2.59E-08	-1.527939	down
ZNF564	7.56E-12	-1.5590299	down
SLC35A3	9.10E-10	-1.9708825	down
DERA	5.95E-18	-1.7653735	down
TUFT1	5.82E-07	-1.5700049	down
RAP1GAP	2.74E-06	-2.0346997	down
NUBPL	5.45E-08	-1.5123502	down
BMP2K	3.96E-07	-1.5068148	down
COX6C	9.25E-18	-1.8990587	down
HDAC11	2.08E-12	-1.7061689	down
ERMP1	1.32E-11	-2.054917	down
CCNG1	3.33E-18	-1.8485245	down
CHRNA7	2.10E-17	-4.2659106	down
PACSIN2	1.08E-10	-1.6749738	down
DOLPP1	1.35E-12	-1.5994831	down
GOT1	8.51E-09	-1.6194832	down
IGF2BP2	2.42E-08	-1.6994596	down
BAIAP2L2	6.71E-05	-1.5411469	down
TMEM65	2.28E-10	-1.5806565	down
MVB12B	1.55E-07	-1.5130465	down
KIAA1211	9.14E-09	-2.295432	down
ATG4D	1.96E-08	-1.5017437	down
WNK4	5.42E-05	-1.8426497	down
CHCHD10	3.36E-12	-1.8383588	down
CAPN5	1.20E-05	-1.6875645	down
RBP2	1.12E-11	-7.4254584	down
GLIPR2	6.63E-13	-1.6241833	down
RNF138	1.87E-15	-1.8579226	down
GNG12	2.69E-10	-1.7506069	down
CABLES1	9.27E-11	-1.7341263	down
APBA1	8.18E-12	-2.3924603	down
MPST	2.67E-17	-2.078774	down
CDS1	9.66E-15	-2.3594022	down
OAF	1.16E-28	-2.95971	down
TREH	2.28E-06	-2.1477675	down
EFNA4	4.73E-15	-1.7518805	down
FOXO4	8.06E-13	-1.7921144	down
AP5M1	3.72E-09	-1.6258129	down
SPRYD7	6.21E-10	-1.5657007	down
AGL	4.40E-06	-1.5328764	down
HIGD2A	1.06E-15	-1.6371306	down
CERS6	3.53E-12	-2.3792045	down
LARGE	9.52E-18	-1.9085997	down
IRF6	1.50E-09	-1.8489093	down
SORBS2	2.88E-07	-1.799127	down
SYT17	7.67E-18	-2.3862574	down
PVRL3	4.60E-15	-2.4999897	down
GHITM	1.30E-13	-1.6332372	down
ALAD	1.87E-08	-1.5710016	down
DDR1	4.56E-07	-1.7319285	down
PPM1L	5.21E-12	-2.3602238	down
DLD	1.23E-10	-1.6115142	down
CYC1	1.22E-13	-1.7378312	down
PROC	3.01E-10	-2.7858148	down
UBL3	1.54E-16	-2.0196047	down
NEURL1	2.44E-05	-1.7348692	down
FTH1	5.04E-29	-2.0506341	down
MFSD9	2.09E-08	-1.5040431	down
DHRS3	7.43E-14	-1.6888058	down
AKAP7	4.57E-16	-2.837122	down
PER3	6.63E-05	-1.8236915	down
STYK1	9.52E-07	-1.7683103	down
TLE2	4.47E-09	-2.04616	down
PPP1R14D	1.83E-08	-1.6540407	down
C1orf106	4.60E-08	-1.6847235	down
KDM4A	1.02E-08	-1.6696013	down
ECI2	3.69E-09	-1.5144666	down
TMEM59	1.64E-30	-2.121344	down
ZNF69	1.87E-07	-1.7305044	down
ELF4	4.43E-09	-1.6072603	down
CD9	4.26E-24	-2.3062057	down
APPL1	8.01E-08	-1.561202	down
MTHFD1L	2.09E-18	2.2499163	up
CXCL17	5.53E-32	78.62777	up
SYDE1	8.37E-27	3.1360364	up
TMPRSS3	5.40E-10	1.9399381	up
LAMA5	6.57E-39	5.477834	up
C1orf162	9.89E-22	2.6418543	up
ABI3	1.27E-21	2.2325275	up
DDHD1	8.96E-19	2.2090898	up
GRHL1	3.62E-14	2.5125957	up
INPP4A	6.87E-17	2.2612636	up
TAPBP	2.37E-09	1.522294	up
HHEX	1.06E-11	2.1036766	up
SEMA3A	4.12E-05	1.6847275	up
CD300A	2.00E-28	3.1156974	up
TESPA1	1.35E-07	1.9420854	up
XPOT	5.00E-08	1.5616391	up
CD1C	2.38E-05	2.063509	up
PLEKHO2	2.01E-24	2.7086768	up
PRF1	5.20E-15	2.8473806	up
DLGAP5	8.02E-07	1.5886266	up
BATF	1.87E-25	4.4032373	up
MAD2L2	6.70E-29	2.3307781	up
DKK3	1.32E-13	2.07765	up
FGFR1	6.84E-18	2.450137	up
HIST2H2BF	1.40E-17	2.3806155	up
PTGDS	3.73E-16	5.188245	up
HSPB8	2.53E-04	1.6548617	up
PIAS3	8.47E-24	2.0179741	up
ITPRIP	6.92E-10	1.8613691	up
KIF23	3.59E-15	2.0421915	up
RAMP3	2.91E-33	3.6142495	up
RGS16	2.30E-25	6.1218266	up
AARS	2.11E-12	1.6618775	up
LILRA2	6.26E-23	5.1608443	up
BHLHA15	6.11E-32	5.3967433	up
WAS	3.37E-31	3.780411	up
GPR176	2.26E-22	3.9640658	up
LPXN	8.29E-09	1.611178	up
KIAA1551	3.63E-14	1.7667769	up
GRAP	1.30E-08	2.3942628	up
FMO3	1.75E-18	3.590084	up
SFXN3	2.09E-33	2.8137555	up
PIK3CD	3.30E-18	3.0740855	up
CCDC102B	7.80E-16	2.3584762	up
PROCR	2.63E-14	1.8298435	up
WFS1	8.93E-15	1.8919545	up
HPSE	1.47E-09	1.8457733	up
PHLDA2	2.72E-08	1.9974531	up
SLC38A2	1.27E-05	1.5246319	up
TIGIT	1.84E-13	2.9592178	up
FANCD2	3.47E-12	1.9053061	up
SDF2L1	3.53E-18	1.9780413	up
NCF1	1.16E-27	3.6131673	up
MEI1	4.23E-40	5.2723255	up
TPRG1	2.50E-10	2.4950845	up
ZNF267	5.87E-08	1.5046576	up
COL5A1	1.21E-15	3.3309133	up
ENO2	2.80E-27	2.9876208	up
PDLIM7	4.39E-32	3.6533265	up
BLVRA	2.07E-26	2.4330409	up
NUSAP1	3.31E-08	1.5856854	up
ACAP1	1.51E-26	3.8685257	up
TMOD2	9.90E-06	1.5246348	up
KIAA0895	9.44E-10	1.8601586	up
ETV5	1.64E-14	1.8714114	up
CD19	1.22E-10	4.373606	up
VWA1	9.50E-14	1.9489413	up
ITGAV	6.55E-05	1.5315803	up
KIF18A	1.39E-08	1.7287084	up
GPR141	1.69E-10	2.4278822	up
CDC42EP2	8.29E-19	2.831356	up
TNFSF15	9.31E-06	1.7165308	up
LYST	3.95E-11	1.7288598	up
FBXO6	6.23E-26	2.3852491	up
LY9	3.07E-14	2.37485	up
CYGB	1.28E-28	2.8196645	up
RASA3	5.04E-14	2.0528345	up
HELB	2.35E-13	2.0626516	up
APOL4	4.52E-19	2.8504536	up
FAM78A	1.10E-16	2.3947263	up
ACOT9	2.39E-20	1.682991	up
LIMK1	5.77E-19	1.989623	up
ANKRD36	8.41E-19	2.5366058	up
CTSC	7.29E-32	2.6467297	up
MTCL1	1.07E-25	4.1357517	up
HID1	5.70E-12	1.6103007	up
HK2	1.43E-05	1.8701667	up
ISG20	3.27E-37	3.427275	up
ERI1	5.45E-08	1.5226276	up
CLIP4	1.53E-21	2.8158195	up
RUNX2	3.13E-30	2.911667	up
KIF14	2.10E-09	2.0504777	up
LPL	3.75E-18	4.824847	up
PRSS22	5.68E-36	7.944908	up
TCIRG1	<5.34E-43	3.2218785	up
CTSL	4.24E-07	1.7251163	up
TRPV2	2.39E-37	3.5196936	up
C1QC	1.07E-13	1.9299424	up
SERPINI1	3.61E-14	2.4590125	up
TSPAN9	8.45E-11	1.7895092	up
TRAM2	6.59E-13	1.9863073	up
SPRR2A	2.65E-09	23.944069	up
RPL22L1	1.39E-11	1.566545	up
CFLAR	2.01E-14	1.7088709	up
BCL6B	2.02E-18	3.1768234	up
FAM101B	3.95E-25	2.5855987	up
SNCAIP	1.05E-32	4.6692166	up
P2RY14	5.03E-16	2.3700552	up
GRHL3	2.12E-31	8.045431	up
TSHZ3	1.24E-20	2.5936317	up
CTSB	1.66E-09	1.7602646	up
GPR4	5.54E-24	5.7277412	up
EGR2	1.84E-15	3.6321821	up
IGFLR1	2.21E-33	3.3133585	up
LAMB1	5.66E-23	2.3621626	up
TMEM119	1.23E-04	1.5094464	up
BCL3	2.18E-23	2.575259	up
GLI3	8.47E-08	1.9114166	up
LAIR1	6.23E-27	2.8255508	up
ADAMTS12	3.51E-20	5.025992	up
SASH3	8.93E-16	2.6153848	up
MROH6	1.04E-25	3.4346955	up
FKBP14	3.39E-14	2.0835667	up
PDE7A	1.78E-10	1.9147252	up
FGD2	2.66E-38	5.1040034	up
ADAM8	1.14E-31	4.6777115	up
PRR11	7.41E-05	1.53476	up
HCST	6.58E-18	2.2541947	up
IL27RA	1.88E-16	2.5123167	up
HSPA5	1.44E-06	1.5909324	up
CEP85L	3.48E-13	2.4599645	up
MYO1B	2.90E-06	1.659855	up
HTRA1	2.96E-18	2.3814774	up
FCN1	1.47E-35	16.255857	up
SFRP2	1.66E-15	17.130869	up
IL15RA	2.64E-27	2.5785172	up
NOTCH3	6.10E-23	5.6943483	up
CTPS1	1.66E-20	2.1820328	up
UBE2S	1.71E-13	1.6753036	up
ANKRD36C	4.97E-15	3.8555045	up
ETV7	2.67E-16	2.6207798	up
WDR54	3.62E-18	1.747774	up
KIF20A	1.91E-09	1.8833123	up
PLEKHA2	2.19E-05	1.5127234	up
SLC1A3	2.99E-09	2.7625499	up
FAM25C	1.23E-06	8.695762	up
NUP188	1.57E-09	1.6778558	up
LIF	7.92E-09	1.8137435	up
TRAT1	6.39E-07	1.918672	up
GSAP	2.45E-17	2.0322049	up
ALOX5AP	8.37E-06	1.5768023	up
SLC4A11	4.24E-25	6.2319903	up
RORA	1.20E-07	1.7812937	up
AIF1	1.01E-21	2.2122042	up
ADAM28	8.57E-19	2.7277765	up
MCC	1.64E-12	2.2498238	up
SLC29A1	1.92E-12	1.5446187	up
NXN	5.27E-19	2.3856556	up
SLC23A2	3.73E-10	1.9131744	up
TMEM39A	3.38E-13	1.7438049	up
CHL1	6.23E-08	2.069808	up
CDYL2	7.93E-06	1.598825	up
MANEA	4.90E-06	1.5294614	up
FNDC3B	1.33E-08	1.692568	up
CHSY1	1.32E-12	2.0011015	up
MKI67	1.00E-11	2.2006931	up
EPSTI1	4.92E-13	2.2017903	up
SH2D1A	2.78E-14	3.1133666	up
MS4A7	3.40E-09	1.9074014	up
LIMS1	9.53E-07	1.5080792	up
GPC6	5.35E-05	1.5583237	up
PLXDC1	1.42E-33	4.0234575	up
ALPK2	1.31E-14	4.8600535	up
JAZF1	7.69E-11	1.6522982	up
BLM	2.81E-15	1.8722854	up
FERMT3	8.66E-22	2.1678345	up
MAP3K6	2.32E-32	2.8681586	up
SLFN12L	2.52E-28	3.3927705	up
FAM72B	6.65E-11	1.915326	up
SDK1	2.58E-14	2.6049788	up
RNF145	2.37E-08	1.5532563	up
PNP	8.27E-08	1.5974431	up
S100A3	6.22E-23	5.462848	up
BRCA2	2.26E-07	1.8336655	up
MANF	9.26E-26	2.1498966	up
RUNX1	1.89E-14	1.9505553	up
PTPN7	3.47E-27	3.4615352	up
HLA-DOA	9.45E-13	2.3092513	up
CCNB1	3.79E-11	1.7728319	up
SGCE	4.69E-16	1.8557998	up
NOS2	2.23E-22	12.2397995	up
RAPGEF4	3.82E-11	2.1141465	up
RAB29	8.43E-11	1.731567	up
NUGGC	8.31E-20	3.2074869	up
ROR2	4.65E-15	2.0342646	up
STAT5A	5.13E-15	1.9579661	up
S100A4	8.62E-09	1.6532084	up
SERPINH1	4.39E-08	1.6113421	up
CD248	6.04E-19	2.9851222	up
SDC3	2.06E-12	1.9990331	up
VNN3	1.16E-27	6.613731	up
CCDC144A	3.15E-05	2.2324917	up
DIO2	1.07E-04	2.1910374	up
GIMAP2	1.42E-17	1.9506533	up
SEC24A	1.67E-06	1.5712363	up
AGRN	1.95E-06	1.7216996	up
ZEB2	7.40E-10	1.7189882	up
CLEC4D	3.25E-28	29.118237	up
TM6SF1	2.38E-14	1.9649448	up
MSTO1	2.78E-40	2.738017	up
LRG1	1.06E-06	2.0088434	up
ARPC1B	1.11E-18	1.6973381	up
ARMCX2	1.23E-16	2.0079932	up
SIRPG	4.54E-18	3.0236764	up
TACSTD2	4.13E-16	4.6751432	up
SGTB	1.08E-16	2.300067	up
PAPLN	2.40E-30	4.120754	up
ST3GAL5	5.49E-34	3.503543	up
MRC1	1.31E-08	2.294055	up
RFX5	7.65E-13	1.774015	up
PFKP	3.44E-08	1.5950879	up
LMCD1	1.82E-14	2.1692677	up
CENPE	1.58E-09	1.9250716	up
CERCAM	1.79E-33	3.3683422	up
WWC2	1.31E-13	2.4311366	up
FCRL2	2.02E-17	4.646346	up
PIK3R5	1.54E-24	3.0243554	up
MMRN2	1.64E-09	2.0196693	up
IL1RL1	8.29E-09	2.6467528	up
TRIP13	2.82E-12	1.9537402	up
HSH2D	<5.34E-43	2.9629211	up
MILR1	1.51E-22	2.7893612	up
KCNAB2	8.61E-22	2.7953413	up
MARS	1.13E-41	2.4001427	up
ACVR1	1.07E-08	1.5576789	up
CCDC167	7.54E-17	1.7166648	up
TNF	5.40E-25	5.4955344	up
NLRC5	3.12E-33	3.4673338	up
AGTRAP	2.81E-19	1.7886388	up
CACNA2D1	2.81E-05	1.6642622	up
ACTN1	3.37E-08	1.5928761	up
RHBDF2	3.77E-28	3.484301	up
RASAL3	1.15E-29	4.399663	up
NBEAL2	1.30E-40	3.7687373	up
PCNX	4.31E-10	1.8497596	up
SYTL3	1.01E-20	2.2154288	up
SDC2	8.56E-09	1.7495339	up
S100B	1.10E-09	1.9949313	up
SVEP1	5.00E-17	3.5422242	up
RSPO3	2.15E-06	2.0718732	up
ENTPD3	1.40E-08	2.145195	up
IL2RB	1.52E-16	2.5620441	up
HLA-DQA1	7.46E-09	2.0178328	up
UBASH3B	6.13E-15	2.3561103	up
FOLH1	2.80E-04	1.7368338	up
TFEC	3.38E-27	4.1144633	up
GRAMD1A	6.23E-15	1.9224623	up
HOMER1	4.08E-06	1.7867463	up
SCPEP1	1.48E-33	2.6272118	up
ADARB1	3.62E-15	2.35118	up
FOXM1	6.38E-08	1.6459453	up
MEFV	1.91E-23	5.3652983	up
EFEMP2	6.74E-33	2.9060223	up
TRERF1	5.14E-18	2.5067372	up
MUC4	6.17E-14	3.00469	up
IRF9	4.06E-30	2.3256404	up
MR1	3.06E-18	2.128102	up
FCHSD2	4.51E-10	1.7417557	up
GALNT2	1.33E-06	1.5168905	up
CD68	6.65E-14	1.9208852	up
ARHGAP24	7.76E-09	1.6542635	up
PIK3CG	7.91E-07	1.919026	up
MYH10	7.68E-07	1.753926	up
EDEM1	1.57E-13	1.8363276	up
CSNK1E	7.74E-23	1.735618	up
GIMAP6	4.68E-11	1.8088548	up
BTN3A2	9.09E-09	1.7554185	up
CLEC2B	5.06E-36	3.0767555	up
PPM1K	1.53E-12	2.0689116	up
SYVN1	1.90E-16	1.9311106	up
RAB34	2.06E-31	2.5586352	up
DNAJB11	6.99E-14	1.6635039	up
FCAR	1.73E-30	35.055546	up
ZNF521	1.57E-08	1.8286004	up
MFAP4	6.51E-08	1.6270777	up
IL11	5.42E-18	13.4446945	up
PLEKHO1	8.27E-31	3.0643964	up
TNFAIP3	6.09E-11	2.049193	up
MAP3K8	1.03E-29	3.1385868	up
PRR16	9.62E-34	4.946601	up
PTGFR	1.09E-17	3.341229	up
SSR4	1.65E-14	1.5881165	up
AKIRIN2	4.64E-12	1.6006583	up
BCAT1	1.04E-15	3.0514243	up
SWAP70	6.59E-06	1.5258139	up
RBMS3	8.41E-20	2.358312	up
ITPR1	1.10E-16	2.441647	up
PYHIN1	1.13E-17	2.8300192	up
FICD	1.15E-18	1.9421402	up
VAV1	1.76E-18	2.2098749	up
PPP1R16B	5.44E-14	2.485369	up
PIK3AP1	6.97E-07	1.6602273	up
ARL4C	5.57E-17	2.319551	up
CLSPN	2.78E-05	1.6523812	up
NFE2L3	9.75E-16	1.8475472	up
LGI2	2.08E-14	3.6134624	up
OLFM1	6.72E-09	2.0031967	up
EFEMP1	1.04E-06	1.5700876	up
CEP135	2.76E-10	1.7974459	up
STARD4	1.12E-16	2.3435721	up
ATP10D	4.59E-12	1.7760836	up
FST	1.12E-08	2.8285658	up
PRKAR2B	2.72E-12	1.7669176	up
RFTN2	2.51E-11	2.061408	up
CPVL	1.81E-08	1.6728265	up
RBMS1	1.75E-23	2.8538475	up
GPCPD1	1.36E-22	2.206391	up
HRH2	8.36E-21	7.795344	up
C1QA	1.10E-16	2.2222602	up
CDC20	3.72E-10	1.7692066	up
WDFY4	3.40E-14	3.0075092	up
BTLA	7.57E-08	2.3101807	up
CLDN2	2.58E-30	33.817623	up
HECW2	8.13E-07	2.1804385	up
GPR155	5.83E-20	2.568618	up
SRGAP2	1.05E-16	2.260113	up
SPAG4	4.60E-35	7.260978	up
TIE1	3.84E-11	2.2637274	up
FPR3	8.00E-09	1.7726861	up
GGT5	6.93E-31	4.00123	up
C1QB	5.47E-15	2.2710614	up
EHD2	4.94E-17	2.5509703	up
CMTM3	7.36E-19	2.0533977	up
HS3ST3B1	1.00E-19	2.4539099	up
CCR2	5.17E-18	2.95901	up
SLFN13	6.42E-22	3.1987672	up
OLR1	6.54E-17	4.730256	up
TYMP	1.14E-36	5.143978	up
SRM	1.35E-29	2.1296742	up
CCR4	8.41E-12	2.8573093	up
DENND3	3.73E-29	3.283447	up
ARHGAP30	2.43E-20	2.7095666	up
CLEC14A	3.43E-19	2.3380573	up
TGFB3	9.34E-07	1.8319324	up
IQSEC1	4.49E-07	1.6178182	up
GZMB	5.07E-25	8.026536	up
PRAF2	1.02E-29	2.2700224	up
HYOU1	2.41E-07	1.7105149	up
JAM3	5.51E-12	1.9157151	up
E2F5	4.21E-11	1.5158968	up
CDH6	4.13E-12	2.6202667	up
RAMP2	5.50E-23	2.4029915	up
SPHK1	5.16E-29	5.3238983	up
GJC1	5.91E-27	4.618912	up
PHGDH	3.28E-14	2.5911036	up
SIRPB1	3.34E-21	6.8022194	up
ZHX2	2.90E-07	1.5042822	up
TMEM165	3.00E-16	1.852572	up
TPST1	3.23E-21	2.3903697	up
TLR8	1.97E-23	4.184465	up
TRAF1	3.96E-24	3.5941198	up
TGFBR2	8.61E-07	1.5006628	up
ACP5	7.24E-19	2.4362571	up
TYROBP	3.94E-18	2.1126826	up
CADM1	8.97E-13	2.3281522	up
PRDX4	4.44E-14	1.5478431	up
F5	8.09E-07	2.1995225	up
AEBP1	5.98E-23	3.346793	up
EGR3	1.11E-18	6.1033506	up
ARHGAP9	2.61E-32	4.209319	up
PDK1	2.29E-24	2.7428453	up
CARD16	3.45E-20	2.059937	up
FAT4	3.46E-08	2.36869	up
FGD5	4.39E-17	2.284167	up
MYO1G	1.73E-23	3.277671	up
MYCBP2	7.54E-13	1.7726837	up
CD3D	1.84E-14	2.4719923	up
CSRNP1	2.50E-04	1.5302362	up
ATP2B4	1.15E-09	1.8093076	up
TIMP3	1.15E-11	2.2189672	up
SPG20	1.52E-08	1.6761888	up
GIMAP8	5.58E-19	2.352033	up
CD4	4.94E-17	2.2034764	up
ADA	4.11E-38	3.7635858	up
CD72	2.56E-14	4.2128415	up
KIAA0040	3.80E-10	1.6974809	up
APCDD1	9.62E-16	2.3694417	up
TNFRSF10B	1.94E-12	1.8357024	up
CHRDL2	5.26E-31	19.493454	up
ZDBF2	1.37E-11	2.1862583	up
PIP4K2A	1.36E-08	1.7148087	up
CD3G	1.02E-04	1.5669565	up
FRY	1.24E-08	1.7110263	up
MRC2	1.14E-27	3.7514362	up
CMKLR1	1.82E-17	2.3663235	up
CCR6	4.24E-10	2.5710652	up
PARVG	1.21E-28	3.6536202	up
PLXNA1	6.00E-14	2.4331305	up
SLC12A4	3.17E-38	3.7524295	up
CD5	1.89E-10	2.3251154	up
SAMHD1	7.32E-17	2.2106915	up
RAB23	8.45E-08	1.5397017	up
ITGAM	6.44E-20	3.581297	up
LTBP2	2.23E-19	4.809629	up
SEC11C	6.74E-24	1.7936946	up
CD48	1.11E-07	1.7524323	up
ADAMTS5	5.47E-20	3.998106	up
FAM65A	2.44E-26	2.662772	up
NLRP3	3.39E-13	2.4396238	up
CCL22	1.21E-15	3.7606869	up
AQP3	6.71E-13	1.7592072	up
DEGS1	1.11E-15	1.6831912	up
PMEPA1	1.92E-08	1.9315835	up
GLRX	8.79E-18	2.2222655	up
DOC2B	2.02E-24	8.332802	up
LDLR	6.90E-08	2.019438	up
TFAP2C	1.04E-04	1.7230369	up
BATF2	6.23E-08	2.0119286	up
LAMB2	9.93E-36	3.785448	up
MPDZ	1.32E-17	2.476208	up
DOCK4	3.31E-17	2.6773074	up
GPR84	3.14E-22	9.891426	up
PTPRCAP	1.24E-08	2.2403119	up
SKIL	1.47E-07	1.728877	up
DPY19L1	3.14E-09	1.7281799	up
TESC	3.27E-17	2.9085064	up
TMEM204	1.57E-21	2.3499045	up
SPATS2	1.16E-19	1.8184454	up
PLAT	1.54E-11	2.5834405	up
MOXD1	3.65E-12	2.1406715	up
AMICA1	5.92E-17	2.132809	up
COL6A2	5.52E-26	3.3851624	up
CCDC80	1.98E-06	1.6642704	up
LDLRAD3	4.23E-21	3.109167	up
IFNG	8.24E-31	25.325243	up
RNF24	8.69E-14	2.274236	up
SBNO2	4.63E-27	3.4705682	up
LRRC32	3.37E-32	3.9108608	up
CBFB	2.93E-13	1.6428484	up
SPI1	1.26E-32	3.340312	up
IL21R	6.50E-21	5.0195594	up
TMEM106A	3.22E-23	2.5342312	up
